Kode Unik,Nama Kos,Harga,Wilayah,No HP,Kamar kosong,Fasilitas,Jenis Kelamin,Jarak ke UNESA,Foto
1050,FTI Tipe A,800.000,Ketintang Baru,08144567009983,1,"Kamar mandi luar, tidak include listrik, AC, Lemari, Kipas angin, Dapur umum, wifi, Ruang jemur, Balcon,Parkiran",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\3.jpg
1030,Faqih,850.000,Dukuh pakis,087754312908,6,"kamar mandi dalam, Kasur, Lemari, Meja, Listrik mandiri",Campur,1.8 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\1.jpg
1025,Fufah,850.000,Jambangan,081345678954,1,"kamar mandi dalam, Dapur, Kosongan, Listrik mandiri",Campur,2.4 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\2.jpg
1057,Gang 3 ,600.0000,Gayungan,08689055433222,3,"Kamar mandi Luar, Include listrik, bisa diisi 2 orang, wifi, Ruang jemuran, Parkiran",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\4.jpg
1062,Gayungsari tipe C,1.100.000,Gayungan,08988876664442,1,"kamar mandi luar, listrik, kasur, lemari, AC",putra,1.9 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\3.jpg
1082,Gembili,1.200.000,Wonokromo,089866543776,2,"Kamar mandi luar, AC, wifi, air panas, listrik",putra,2.3 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\6.jpg
1020,Graha Matahari,1.300.000,Karang pilang,089654327809,3,"kamar mandi dalam, Lemari, Kasur, AC, Meja, TV, Dispenser, wifi, Mesin cuci, Listrik madiri",Campur,1.3 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\3.jpg
1033,Griya Anggrek,1.200.000,Ketintang Timur,086578954321,3,"Kamar mandi dalam, wifi, Free listrik, Kasur,Lemari, TV umum, Dapur umum",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\4.jpg
1010,Griya Sekar Wangi,1.700.000,Wonokromo,086534232579,3,"kamar mandi dalam, AC, Kasur, Meja, TV, Lemari, Listrik, wifi",Campur,823 m,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\5.jpg
1042,Griyoku,1.600.000,Ketintang Baru,08236099006543,3," Kamar mandi luar, Meja, Meja rias, Lemari, wifi, Ruang cuci dan jemur, Parkir",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\1.jpg
1009,Happy 1,1.500.000,Wonocolo,087689343409,5,"kamar mandi luar, Kasur, Lemari, Meja, AC, Dispenser, TV, Kulkas, wifi",Campur,1.3 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\4.jpg
1040,Happy 2,700.000,Ketintang Baru,08977334567332,3,"Kamar mandi dalam, Kasur, Meja, Lemari, wifi, Dapur umum,  Kulkas umum",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\5.jpg
1005,Harnik,850.000,Jambangan,089876324512,1,"kamar mandi dalam, Kasur, Lemari, Wastafel, Wifi, Listrik mandiri",Campur,1.7 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\5.jpg
1037,Hesti Rahayuningtyas Tipe A,1.800.000,Ketintang Barat,087644231458,3,"wifi, Ruang cuci dan jemur umum,Kulkas umum, Tempat Parkir, Bisa diisi 2 orang, AC, Dapur",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\2.jpg
1048,Ibu Evi Tipe A,1.500.000,Ketintang Baru,08562345908712,1,"AC, Meja, Lemari, Kamar mandi luar, tidak include listrik, bisa diisi 2 orang, Ruang cuci dan jemur, Parkiran",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\1.jpg
1084,Ibu Hanis,1.500.000,Jambangan,088653456389,2,"AC, mandi dalam, air panas, listrik, kasur, lemari",putra,2.7 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\2.jpg
1045,Ibu Hj Ngadimin,750.000,Wonokromo,08677432670984,2,"Meja, Lemari, Kamar mandi luar, tidak include listrik, Parkiran",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\4.jpg
1051,Ibu Yayuk,1.500.000,Ketintang Baru,08986523460983,4,"AC, Kamar mandi dalam,wifi, Dapur dan kulkas umum, Lemari, Meja, include listrik dan air, Parkiran",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\4.jpg
1034,Irwan 2,1.000.000,Ketintang Timur,089663309921,3,"Kamar mandi luar, Kasur, Lemari, Dapur umum, Freezer umum, Mesin Cuci umum, tidak include listrik",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\5.jpg
1060,Ismanto,400.000,Wonocolo,08166432887964,2,"kamar mandi luar, listrik, kasur, lemari",putra,1.5 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\1.jpg
1080,Iyus Kutisari,700.000,Tenggilis Mejoyo,082789655433,5,"kamar mandi luar, wifi, AC, kasur, lemari, listrik",putra,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\4.jpg
1064,Jemur Ngawian,600.000,Wonocolo,089811224556734,5,"kamar mandi luar, wifi, kasur, lemari",putra,1.8 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\5.jpg
1021,Kanjeng mami,600.000,Dukuh pakis,086543789021,2,"kamar mandi luar, Kursi, Lemari, Jendela, Ventilasi, wifi, Listrik",Campur,2.4 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\4.jpg
1024,Kazora,800.000,Gayungan,087654310987,2,"kamar mandi luar, Kasur, Kursi, Lemari, Listrik",Campur,873 m,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\1.jpg
1056,Kebonsari,1.250.000,Gayungan,08943216780943,3,"Include listrik, AC, Lemari Baju, Kamar mandi luar, Parkiran",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\3.jpg
1085,Kedurus GG 4 B,350.000,Karangpilang,089542334789,5,"kamar mandi luar, kasur",putra,2.5 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\3.jpg
1079,Kensa 1,1.500.000,Tenggilis Mejoyo,085432109876,3,"Kamar mandi dalam, AC, wifi, listrik, lekamri, kasur, meja kursi",putra,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\3.jpg
1066,Ketintang 91,1.500.000,Wonokromo,080987765423,2,"Kamar mandi dalam, AC, wifi, kasur, lemari, listrik",putra,1.2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\1.jpg
1038,Ketintang Baru tipe C,900.000,Ketintang Baru,085466789211,3," Kamar mandi dalam, Listrik, Kasur, Meja, TV, Kulkas, Lemari, Kipas angin, Kamar mandi dalam, wifi, Ruang Cuci umum",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\3.jpg
1047,Ketintang Timur PTT,650.000,Ketintang Timur,08645632109854,1,"Meja, Lemari, Kamar mandi luar, tidak include listrik, Parkiran",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\6.jpg
1070,Ketintang Wiyata,590.000,Gayungan,088954236783,1,"kamar mandi luar, kasur",Putra,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\5.jpg
1023,Kutisari 55,1.200.000,Tenggilis,086785438976,2,"kamar mandi dalam, Kasur, Lemari, Meja, AC, wifi",Campur,4 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\6.jpg
1013,La Boende,1.500.000,Gayungan,081209873475,3,"kamar mandi dalam, Kaasur, Meja, Lemari, AC, TV, Listrik mandiri, wifi",Campur,1.8 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\2.jpg
1041,Lare-Lare,1.300.000,Ketintang Wiyata,08977668833211,3,"Kamar mandi dalam, AC, Meja, Lemari, wifi, Ruang Cuci Jemur dan Laundry, Mushola, Parkir",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\6.jpg
1012,Lavebriant,1.300.000,Jambangan,089554234789,3,"kamar mandi dalam, Kasur, Lemari, AC, Meja, TV, Listrik",Campur,2.8 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\1.jpg
1036,Maliqa 2,1.200.000,Ketintang Timur,085431227809,3,"Kamar mandi dalam, wifi, Free listrik, Kasur, Lemari,TV umum, Dapur umum",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\1.jpg
1014,Markasan,750.000,Wonocolo,086666454555,3,"kamar mandi luar, Kasur, Meja, Lemari, Jendela, Listrik mandiri",Campur,3.5 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\3.jpg
1018,Marmoed,1.200.000,Tenggilis,089876345236,7,"kamar mandi dalam, Kasur, Lemari, AC, Ventilasi, Meja, Listrik mandiri, wifi",Campur,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\1.jpg
1015,Mastrip,1.250.000,Karang pilang,089876543211,3,"kamar mandi dalam, Kasur, Lemari, AC, TV, wifi, Listrik mandiri",Campur,2.8 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\4.jpg
1053,Moms House,900.000,Wonocolo,08966543760912,1,"Kamar mandi dalam, Include listrik, Meja, Lemari, Kipas angin, AC, meja rias, Parkiran",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\6.jpg
1072,Mukmin,1.000.000,Gayungan,089855432453,5,"kamar mandi luar, wifi, AC listrik, kasur",putra,2.1 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\2.jpg
1086,Murah Meriah,530.000,Wonokromo,089832415678,1,"kamar mandi luar, wifi, lemari, kasur",putra,1.9 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\4.jpg
1067,Novita 1,1.050.000,Jambangan ,089541342786,5,"kamar mandi luar, wifi, listrik",putra,1.6 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\2.jpg
1029,Nyaman,1.300.000,Wonocolo,088654312589,8,"kamar mandi dalam, Kasur AC, Lemari, Meja, wifi, Listrik mandiri",Campur,2.7 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\6.jpg
1065,Pagar Coklat,400.000,Wonokromo,08944315672458,2,"kamar mandir luar, kasur",putra,1 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\6.jpg
1061,Pagesangan Baru,1.600.000,Jambangan,08955431675488,2,"Kamar mandi dalam, AC, wifi, kasur, lemari",putra,4.9 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\2.jpg
1016,Pak Guru,655.000,Dukuh pakis,089999876654,1,"kamar mandi dalam, Kasur, Lemari, Jendela, Litrik",Campur,3.1 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\5.jpg
1087,Pak Irwan 4,500.000,Gayungan,089653229004,1,"kamar mandi luar, wifi, kasur, lemari",putra,1 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\5.jpg
1058,Pak Sumardi,700.000,Gayungan,08900800070005,2,"Kamar Mandi luar,, Include listrik, Lemari, Kasur, Ruang cuci dan jemur, Ruang makan, Parkiran",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\5.jpg
1077,Pak Yono,700.000,Gayungan,084987134426,3,"kamar mandi luar, wifi, listrik, kasur",putra,1.8 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\1.jpg
1046,Poetri,2.300.000,Ketintang,086643245690325,3,"Kamar mandi luar dan dalam, AC, Lemari, Meja kursi,Rak buku, wifi, Bisa dua orang, Ruang cuci dan jemur, Parkiran",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\5.jpg
1006,Pratama,800.000,Gayungan,087635428945,1,"kamar mandi dalam, Kasur, Lemari, Kipas angin, Wifi, Listrik mandiri",Campur,2.8 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\1.jpg
1017,Pratama,850.000,Gayungan,082545436789,1,"kamar mandi dalam, Kasur, Lemari, Kipas angin, Ventilasi, Listrik, wifi",Campur,2.3 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\6.jpg
1032,Putri Ketintang The Nana,1.700.000,Ketintang Baru,089113452009,3,"Kamar mandi dalam, Kasur, Meja, Lemari, AC, wifi, tidak include listrik, Boleh diisi 2 orang",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\3.jpg
1069,Rahmad Benteng,750.000, Wonocolo,085477221109,1,"kamar mandi dalam, wifi, listrik, kasur",putra,3.6 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\4.jpg
1001,Ratna,500.000,Wonokromo,086589034521,2,"kamar mandi dalam, Kasur, Lemari, Meja, Listrik mandiri",Campur,3 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\1.jpg
1035,Ratu,1.200.000,Ketintang Timur,082335590876,3,"Kamar mandi dalam, wifi, Free listrik, Kasur, Lemari, TV umum, Dapur umum",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\6.jpg
1026,Rembulan,2.000.000,Gayungan,089654735697,2,"kamar mandi dalam, Kasur, AC, TV, Lemari, Meja, wifi, Listrik mandiri",Campur,2.7 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\3.jpg
1027,Rini,900.000,Karang pilang,089843256786,1,"kamar mandi dalam, Lemari, Meja, wifi, Listrik",Campur,2.2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\4.jpg
1073,Rini tipe A Jambangan,800.000,Jambangan,0890876523436,5,"kamar mandi dalam, wifi, listrik, kasur",putra,1.3 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\3.jpg
1004,Royal,1.100.000,Wonocolo,089865542280,5,"kamar mandi dalam, AC, TV, Kasur, Meja, Lemari",Campur,2.6 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\4.jpg
1059,Rumah Lotus,900.000,Gayungan,08254665879875,2,"Kamar mandi luar,, include listrik, Meja, Kipas angin, Ruang jemur, Parkiran",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\6.jpg
1049,Sakura 1,1.600.000,Ketintang Baru,08255674319084,2,"Kamar mandi dalam, wifi, AC, Meja, TV, Lemari, Kulkas umum, Ruang makan, parkiran, bisa 2 orang, tidak include listrik",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\2.jpg
1044,Sakura 2,1.000.000,Ketintang Baru,08955436751345,2,"Kamar mandi dalam, AC, Meja, TV, Lemari, wifi, Kulkas, Ruang Makan,Parkiran",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\3.jpg
1074,Savira,700.000,Wonokromo,08********,1,"kamar mandi dalam, wifi, kasur, lemari",putra,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\6.jpg
1007,Setail 22,1.500.000,Wonokromo,088365342526,5,"kamar mandi dalam, AC, Kasur, Meja, TV, Lemari, wifi, Listrik mandiri",Campur,1 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\2.jpg
1075,Syafaah Adhiimah,700.000,Wonocolo,087990054628,2,"kamar mandi luar, kasur, listrik",putra,2.3 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\4.jpg
1081,Syfanya tipe C,1.600.000,Gayungan,089823453367,1,"Kamar mandi dalam, AC, wifi, kasur, listrik ",putra,2.1 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\5.jpg
1003,Tino,902.000,Jambangan,088754367256,3,"kamar mandi dalam, Kasur, Lemari, Meja, Dapur pribadi, Listrik mandiri",Campur,3 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\3.jpg
1002,Town House,1.300.000,Jambangan,08674358946710,1,"kamar mandi dalam, Dapur pribadi, Wastafel, Kosongan, Listrik mandiri",Campur,3.2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\2.jpg
1076,Ubaidillah,750.000,Wonokromo,081767754332,5,"kamar mandi luar, kasur, listrik, wifi",putra,1.7 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\5.jpg
1054,Wardah,925.000,Wonocolo,08365211900875,2,"Kamar mandi luar, Include listrik, Meja, Lemari, wifi, Ruang cuci dan jemur, Dapur, Parkiran",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\1.jpg
1088,Winata,590.000,Ketintang,082312200423,4 kamar,"kamar mandi luar, wifi, listrik, kasur",Campur,3.4 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\6.jpg
1031,beauty 23,1.300.000,Ketintang Baru,087765432154,3,"kamar mandi dalam, AC, Dapur Bersama, Parkiran motor, CCTV, wifi, Listrik mandiri",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\2.jpg
1055,jemursari,1.700.000,Wonocolo,08532146709854,4,"Kamar mandi dalam, Tidak include listrik, Bisa diisi 2 orang, AC, Meja, Lemari, wifi, Ruang bersama",Putri,1.3 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\2.jpg
1043,mahasiswi karyawati,1.000.000,Ketintang Wiyata,0898442209856,4,"Kamar mandi dalam, lemari, wifi, Ruang cuci dan jemur, Dapur, Parkir",Putri,2 km,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\2.jpg
1091,Nyaman Sekali,700.000,Wonokromo,0812345678,5 kamar,"Kamar mandi luar, AC, wifi, kasur, listrik",Pria,200m,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\2.jpg
2355,Kos ketintang dekat UNESA,500.000,Ketintang,088877776666,5 kamar,"Kamar mandi luar, kasur, wifi, laundry",Wanita,100m,C:\Users\IVANAGITA\OneDrive\Attachments\Documents\AA SDA RILL\Projek Rekom kos\2.jpg
